Date,Open,High,Low,Close,Volume,ticker,Year,Month,Day
2005-11-21,1.9440197031968542,1.9551160438693203,1.9110291970292417,1.9482183456420898,511711200,AAPL,2005,11,21
2005-11-22,1.9446190680652784,2.0022023930321047,1.935022514610242,1.9950041770935059,540282400,AAPL,2005,11,22
2005-11-23,2.005799678552329,2.0387899648819645,2.0001020534689204,2.012698173522949,485853200,AAPL,2005,11,23
2005-11-25,2.029194447110203,2.085576898615386,2.024395169570625,2.0795793533325195,395012800,AAPL,2005,11,25
2005-11-28,2.1209666545432855,2.131463561616251,2.0714818933239556,2.0891764163970947,1018519600,AAPL,2005,11,28
2005-11-29,2.099073029960756,2.1083698642872344,2.0198962756392143,2.0423898696899414,891433200,AAPL,2005,11,29
2005-11-30,2.052287282649527,2.0648836081054105,2.024995411004947,2.0339925289154053,595674800,AAPL,2005,11,30
2005-12-01,2.0678821496697677,2.1512573416872653,2.0636833082491597,2.1473584175109863,812893200,AAPL,2005,12,1
2005-12-02,2.1674524500747236,2.1815485643188826,2.120367031847401,2.1782500743865967,895762000,AAPL,2005,12,2
2005-12-05,2.157856054025798,2.1752506594717205,2.1440598560991204,2.1539571285247803,583671200,AAPL,2005,12,5
2005-12-06,2.2172379081649365,2.244229866514605,2.1998433041211025,2.220837116241455,857029600,AAPL,2005,12,6
2005-12-07,2.226234578372627,2.2331330758121832,2.192945163821534,2.21783709526062,679464800,AAPL,2005,12,7
2005-12-08,2.1953451794483083,2.224436765027893,2.177350136559654,2.2217369079589844,790479200,AAPL,2005,12,8
2005-12-09,2.225635249172018,2.2370323068856615,2.1998431619888406,2.229234457015991,555402400,AAPL,2005,12,9
2005-12-12,2.245429969246458,2.2598249998577424,2.2361323319141246,2.246629238128662,524994400,AAPL,2005,12,12
2005-12-13,2.2448288743634484,2.263123625690629,2.2256347717447866,2.248727798461914,493816400,AAPL,2005,12,13
2005-12-14,2.175249952024755,2.1983429795386447,2.107470455726544,2.1596548557281494,1450716400,AAPL,2005,12,14
2005-12-15,2.179747701393845,2.1851464100780027,2.1398595229720105,2.164752244949341,561162000,AAPL,2005,12,15
2005-12-16,2.163553647216887,2.168352122689758,2.131162986769105,2.132662773132324,671171200,AAPL,2005,12,16
2005-12-19,2.1326621438803555,2.1773483965262934,2.130562723887769,2.1407597064971924,529295200,AAPL,2005,12,19
2005-12-20,2.148258567007026,2.1707521684774433,2.132963382498641,2.162654399871826,479108000,AAPL,2005,12,20
2005-12-21,2.177348787567358,2.207640224117443,2.1755492843933877,2.204340934753418,475736800,AAPL,2005,12,21
2005-12-22,2.2166376434617714,2.234032242559687,2.2073400089098203,2.2199361324310303,370610800,AAPL,2005,12,22
2005-12-23,2.224435222600809,2.227134076738977,2.198342428505047,2.1998422145843506,229857600,AAPL,2005,12,23
2005-12-27,2.219336977563645,2.254726415108415,2.217837190979305,2.2262346744537354,590590000,AAPL,2005,12,27
2005-12-28,2.2334326382160112,2.2421300379873625,2.198942555947852,2.2064406871795654,398115200,AAPL,2005,12,28
2005-12-29,2.212739346671342,2.2139394163822153,2.141960260208586,2.1428604125976562,490025200,AAPL,2005,12,29
2005-12-30,2.12666534197504,2.1722519797124855,2.1095704529294252,2.1560566425323486,624262800,AAPL,2005,12,30
2006-01-03,2.1707513264984217,2.2418301105499268,2.166852402385788,2.2418301105499268,807234400,AAPL,2006,1,3
2006-01-04,2.2532266206783884,2.2787189882874235,2.2343322328737605,2.2484283447265625,619603600,AAPL,2006,1,4
2006-01-05,2.244230786146821,2.2463302082615155,2.2118409033630106,2.2307353019714355,449422400,AAPL,2006,1,5
2006-01-06,2.256826913923803,2.300314138650434,2.23583309510487,2.2883174419403076,704457600,AAPL,2006,1,6
2006-01-09,2.301212639021213,2.315308752439988,2.271521626497031,2.280818462371826,675040800,AAPL,2006,1,9
2006-01-10,2.286816664465123,2.4559666112350396,2.274220538797307,2.4250755310058594,2279869200,AAPL,2006,1,10
2006-01-11,2.514449437582175,2.5432400975287783,2.4769603748981766,2.516248941421509,1493794400,AAPL,2006,1,11
2006-01-12,2.5483387386239467,2.591225706240628,2.5078511091268423,2.527944564819336,1280809600,AAPL,2006,1,12
2006-01-13,2.5489383576892495,2.579529518107212,2.5372423852734705,2.5669333934783936,776305600,AAPL,2006,1,13
2006-01-17,2.5702321837092987,2.5906263597800083,2.5153487196081485,2.540541172027588,835623600,AAPL,2006,1,17
